M00001	V$MYOD_01	17927	Myod1
M00004	V$CMYB_01	17863	Myb
M00006	V$MEF2_01	17258	Mef2a
M00011	V$EVI1_06	14013	Evi1
M00023	V$HOX13_01	15402	Hoxa5
M00024	V$E2F_01	13555	E2f1
M00032	V$CETS1P54_01	23871	Ets1
M00034	V$P53_01	22059	Trp53
M00037	V$NFE2_01	18022	Nfe2
M00039	V$CREB_01	12912	Creb1
M00041	V$CREBP1CJUN_01	16476	Jun
M00042	V$SOX5_01	20678	Sox5
M00050	V$E2F_02	13555	E2f1
M00052	V$NFKAPPAB65_01	19697	Rela
M00053	V$CREL_01	19696	Rel
M00054	V$NFKAPPAB_01	18033	Nfkb1
M00054	V$NFKAPPAB_01	19696	Rel
M00054	V$NFKAPPAB_01	19697	Rela
M00054	V$NFKAPPAB_01	19698	Relb
M00055	V$NMYC_01	18109	Mycn
M00059	V$YY1_01	22632	Yy1
M00062	V$IRF1_01	16362	Irf1
M00063	V$IRF2_01	16363	Irf2
M00069	V$YY1_02	22632	Yy1
M00072	V$CP2_01	21422	Tcfcp2
M00075	V$GATA1_01	14460	Gata1
M00078	V$EVI1_01	14013	Evi1
M00079	V$EVI1_02	14013	Evi1
M00080	V$EVI1_03	14013	Evi1
M00081	V$EVI1_04	14013	Evi1
M00082	V$EVI1_05	14013	Evi1
M00086	V$IK1_01	22778	Ikzf1
M00087	V$IK2_01	22778	Ikzf1
M00088	V$IK3_01	22778	Ikzf1
M00097	V$PAX6_01	18508	Pax6
M00098	V$PAX2_01	18504	Pax2
M00099	V$S8_01	20204	Prrx2
M00109	V$CEBPB_01	12608	Cebpb
M00113	V$CREB_02	12912	Creb1
M00114	V$TAXCREB_01	12912	Creb1
M00115	V$TAXCREB_02	12912	Creb1
M00116	V$CEBPA_01	12606	Cebpa
M00117	V$CEBPB_02	12608	Cebpb
M00118	V$MYCMAX_01	17869	Myc
M00121	V$USF_01	22278	Usf1
M00122	V$USF_02	22278	Usf1
M00123	V$MYCMAX_02	17869	Myc
M00126	V$GATA1_02	14460	Gata1
M00127	V$GATA1_03	14460	Gata1
M00128	V$GATA1_04	14460	Gata1
M00130	V$FOXD3_01	15221	Foxd3
M00132	V$HNF1_01	21405	Hnf1a
M00133	V$TST1_01	18991	Pou3f1
M00135	V$OCT1_01	18986	Pou2f1
M00136	V$OCT1_02	18986	Pou2f1
M00137	V$OCT1_03	18986	Pou2f1
M00138	V$OCT1_04	18986	Pou2f1
M00139	V$AHR_01	11622	Ahr
M00141	V$LYF1_01	22778	Ikzf1
M00143	V$PAX5_01	18507	Pax5
M00144	V$PAX5_02	18507	Pax5
M00146	V$HSF1_01	15499	Hsf1
M00147	V$HSF2_01	15500	Hsf2
M00148	V$SRY_01	21674	Sry
M00150	V$BRACH_01	20997	T
M00152	V$SRF_01	20807	Srf
M00158	V$COUP_01	13865	Nr2f1
M00159	V$CEBP_01	12606	Cebpa
M00160	V$SRY_02	21674	Sry
M00161	V$OCT1_05	18986	Pou2f1
M00162	V$OCT1_06	18986	Pou2f1
M00172	V$AP1FJ_Q2	14281	Fos
M00172	V$AP1FJ_Q2	16476	Jun
M00173	V$AP1_Q2	14281	Fos
M00173	V$AP1_Q2	16476	Jun
M00174	V$AP1_Q6	14281	Fos
M00174	V$AP1_Q6	16476	Jun
M00177	V$CREB_Q2	12912	Creb1
M00178	V$CREB_Q4	12912	Creb1
M00179	V$CREBP1_Q2	11909	Atf2
M00183	V$MYB_Q6	17863	Myb
M00184	V$MYOD_Q6	17927	Myod1
M00185	V$NFY_Q6	18044	Nfya
M00185	V$NFY_Q6	18045	Nfyb
M00185	V$NFY_Q6	18046	Nfyc
M00186	V$SRF_Q6	20807	Srf
M00187	V$USF_Q6	22278	Usf1
M00188	V$AP1_Q4	14281	Fos
M00188	V$AP1_Q4	16476	Jun
M00189	V$AP2_Q6	21418	Tcfap2a
M00189	V$AP2_Q6	21419	Tcfap2b
M00189	V$AP2_Q6	21420	Tcfap2c
M00190	V$CEBP_Q2	12606	Cebpa
M00191	V$ER_Q6	13982	Esr1
M00192	V$GR_Q6	14815	Nr3c1
M00194	V$NFKB_Q6	18033	Nfkb1
M00194	V$NFKB_Q6	19696	Rel
M00194	V$NFKB_Q6	19697	Rela
M00194	V$NFKB_Q6	19698	Relb
M00195	V$OCT1_Q6	18986	Pou2f1
M00196	V$SP1_Q6	20683	Sp1
M00199	V$AP1_C	14281	Fos
M00199	V$AP1_C	16476	Jun
M00201	V$CEBP_C	12606	Cebpa
M00203	V$GATA_C	14460	Gata1
M00203	V$GATA_C	14461	Gata2
M00203	V$GATA_C	14462	Gata3
M00205	V$GRE_C	14815	Nr3c1
M00206	V$HNF1_C	21405	Hnf1a
M00208	V$NFKB_C	18033	Nfkb1
M00208	V$NFKB_C	19696	Rel
M00208	V$NFKB_C	19697	Rela
M00208	V$NFKB_C	19698	Relb
M00209	V$NFY_C	18044	Nfya
M00209	V$NFY_C	18045	Nfyb
M00210	V$OCT_C	18986	Pou2f1
M00210	V$OCT_C	18987	Pou2f2
M00215	V$SRF_C	20807	Srf
M00216	V$TATA_C	21374	Tbp
M00217	V$USF_C	22278	Usf1
M00222	V$HAND1E47_01	15110	Hand1
M00223	V$STAT_01	20846	Stat1
M00223	V$STAT_01	20848	Stat3
M00223	V$STAT_01	20849	Stat4
M00223	V$STAT_01	20850	Stat5a
M00223	V$STAT_01	20851	Stat5b
M00223	V$STAT_01	20852	Stat6
M00224	V$STAT1_01	20846	Stat1
M00225	V$STAT3_01	20848	Stat3
M00231	V$MEF2_02	17258	Mef2a
M00232	V$MEF2_03	17258	Mef2a
M00233	V$MEF2_04	17258	Mef2a
M00235	V$AHRARNT_01	11622	Ahr
M00235	V$AHRARNT_01	11863	Arnt
M00236	V$ARNT_01	11863	Arnt
M00237	V$AHRARNT_02	11622	Ahr
M00237	V$AHRARNT_02	11863	Arnt
M00240	V$NKX25_01	18091	Nkx2-5
M00241	V$NKX25_02	18091	Nkx2-5
M00242	V$PPARA_01	19013	Ppara
M00243	V$EGR1_01	13653	Egr1
M00246	V$EGR2_01	13654	Egr2
M00248	V$OCT1_07	18986	Pou2f1
M00249	V$CHOP_01	12606	Cebpa
M00249	V$CHOP_01	13198	Ddit3
M00252	V$TATA_01	21374	Tbp
M00258	V$ISRE_01	20846	Stat1
M00258	V$ISRE_01	20847	Stat2
M00258	V$ISRE_01	16391	Irf9
M00272	V$P53_02	22059	Trp53
M00277	V$LMO2COM_01	16909	Lmo2
M00278	V$LMO2COM_02	16909	Lmo2
M00280	V$RFX1_01	19724	Rfx1
M00281	V$RFX1_02	19724	Rfx1
M00287	V$NFY_01	18044	Nfya
M00302	V$NFAT_Q6	18018	Nfatc1
M00302	V$NFAT_Q6	18019	Nfatc2
M00302	V$NFAT_Q6	18021	Nfatc3
M00322	V$MYCMAX_B	17869	Myc
M00325	V$NRSE_B	19712	Rest
M00326	V$PAX1_B	18503	Pax1
M00327	V$PAX3_B	18505	Pax3
M00328	V$PAX8_B	18510	Pax8
M00332	V$WHN_B	15218	Foxn1
M00333	V$ZF5_B	22666	Zfp161
M00339	V$ETS1_B	23871	Ets1
M00340	V$ETS2_B	23872	Ets2
M00341	V$GABP_B	14390	Gabpa
M00341	V$GABP_B	14391	Gabpb1
M00342	V$OCT1_B	18986	Pou2f1
M00346	V$GATA1_05	14460	Gata1
M00360	V$PAX3_01	18505	Pax3
M00373	V$PAX4_01	18506	Pax4
M00377	V$PAX4_02	18506	Pax4
M00378	V$PAX4_03	18506	Pax4
M00380	V$PAX4_04	18506	Pax4
M00394	V$MSX1_01	17701	Msx1
M00395	V$HOXA3_01	15400	Hoxa3
M00396	V$EN1_01	13798	En1
M00405	V$MMEF2_Q6	17258	Mef2a
M00416	V$CART1_01	216285	Alx1
M00418	V$TGIF_01	21815	Tgif1
M00419	V$MEIS1_01	17268	Meis1
M00420	V$MEIS1AHOXA9_01	15405	Hoxa9
M00420	V$MEIS1AHOXA9_01	17268	Meis1
M00421	V$MEIS1BHOXA9_02	15405	Hoxa9
M00421	V$MEIS1BHOXA9_02	17268	Meis1
M00422	V$FOXJ2_01	60611	Foxj2
M00423	V$FOXJ2_02	60611	Foxj2
M00424	V$NKX61_01	18096	Nkx6-1
M00430	V$E2F1_Q4	13555	E2f1
M00431	V$E2F1_Q6	13555	E2f1
M00432	V$TITF1_Q3	21869	Nkx2-1
M00433	V$HMX1_01	15373	Hmx3
M00436	V$IPF1_Q4	18609	Pdx1
M00437	V$CHX10_01	12677	Vsx2
M00444	V$VDR_Q3	22337	Vdr
M00446	V$SPZ1_01	79401	Spz1
M00447	V$AR_Q2	11835	Ar
M00448	V$ZIC1_01	22771	Zic1
M00449	V$ZIC2_01	22772	Zic2
M00450	V$ZIC3_01	22773	Zic3
M00451	V$NKX3A_01	18095	Nkx3-1
M00457	V$STAT5A_01	20850	Stat5a
M00459	V$STAT5B_01	20851	Stat5b
M00460	V$STAT5A_02	20850	Stat5a
M00462	V$GATA6_01	14465	Gata6
M00463	V$POU3F2_01	18992	Pou3f2
M00464	V$POU3F2_02	18992	Pou3f2
M00465	V$POU6F1_01	19009	Pou6f1
M00466	V$HIF1_Q5	11863	Arnt
M00466	V$HIF1_Q5	15251	Hif1a
M00469	V$AP2ALPHA_01	21418	Tcfap2a
M00470	V$AP2GAMMA_01	21420	Tcfap2c
M00471	V$TBP_01	21374	Tbp
M00472	V$FOXO4_01	54601	Foxo4
M00473	V$FOXO1_01	56458	Foxo1
M00474	V$FOXO1_02	56458	Foxo1
M00476	V$FOXO4_02	54601	Foxo4
M00477	V$FOXO3_01	56484	Foxo3a
M00481	V$AR_01	11835	Ar
M00482	V$PITX2_Q2	18741	Pitx2
M00484	V$NCX_01	21909	Tlx2
M00485	V$NKX22_01	18088	Nkx2-2
M00486	V$PAX2_02	18504	Pax2
M00489	V$NKX62_Q2	14912	Nkx6-2
M00490	V$BACH2_01	12014	Bach2
M00491	V$MAZR_01	56218	Patz1
M00492	V$STAT1_02	20846	Stat1
M00493	V$STAT5A_03	20850	Stat5a
M00494	V$STAT6_01	20852	Stat6
M00495	V$BACH1_01	12013	Bach1
M00496	V$STAT1_03	20846	Stat1
M00497	V$STAT3_02	20848	Stat3
M00498	V$STAT4_01	20849	Stat4
M00499	V$STAT5A_04	20850	Stat5a
M00500	V$STAT6_02	20852	Stat6
M00510	V$LHX3_01	16871	Lhx3
M00511	V$ERR1_Q2	26379	Esrra
M00512	V$PPARG_01	19016	Pparg
M00513	V$ATF3_Q6	11910	Atf3
M00514	V$ATF4_Q2	11911	Atf4
M00515	V$PPARG_02	19016	Pparg
M00516	V$E2F_03	104394	E2f4
M00516	V$E2F_03	13555	E2f1
M00516	V$E2F_03	13557	E2f3
M00516	V$E2F_03	13559	E2f5
M00516	V$E2F_03	242705	E2f2
M00516	V$E2F_03	50496	E2f6
M00516	V$E2F_03	52679	E2f7
M00517	V$AP1_01	14281	Fos
M00517	V$AP1_01	14282	Fosb
M00517	V$AP1_01	14283	Fosl1
M00517	V$AP1_01	16476	Jun
M00517	V$AP1_01	16477	Junb
M00517	V$AP1_01	16478	Jund
M00518	V$PPARA_02	19013	Ppara
M00518	V$PPARA_02	20181	Rxra
M00526	V$GCNF_01	14536	Nr6a1
M00528	V$PPARG_03	19016	Pparg
M00539	V$ARNT_02	11863	Arnt
M00615	V$MYCMAX_03	17187	Max
M00615	V$MYCMAX_03	17869	Myc
M00619	V$ALX4_01	11695	Alx4
M00621	V$CEBPDELTA_Q6	12609	Cebpd
M00622	V$CEBPGAMMA_Q6	12611	Cebpg
M00623	V$CRX_Q4	12951	Crx
M00626	V$EFC_Q6	19724	Rfx1
M00630	V$FOXM1_01	14235	Foxm1
M00631	V$FXR_Q3	20181	Rxra
M00631	V$FXR_Q3	20186	Nr1h4
M00632	V$GATA4_Q3	14463	Gata4
M00634	V$GCM_Q2	107889	Gcm2
M00634	V$GCM_Q2	14531	Gcm1
M00638	V$HNF4ALPHA_Q6	15378	Hnf4a
M00639	V$HNF6_Q6	15379	Onecut1
M00640	V$HOXA4_Q2	15401	Hoxa4
M00641	V$HSF_Q6	15499	Hsf1
M00647	V$LXR_Q3	20181	Rxra
M00647	V$LXR_Q3	22259	Nr1h3
M00647	V$LXR_Q3	22260	Nr1h2
M00649	V$MAZ_Q6	17188	Maz
M00650	V$MTF1_Q4	17764	Mtf1
M00655	V$PEA3_Q6	18612	Etv4
M00658	V$PU1_Q6	20375	Sfpi1
M00670	V$TCF1P_Q6	21414	Tcf7
M00671	V$TCF4_Q5	21416	Tcf7l2
M00687	V$ALPHACP1_01	18044	Nfya
M00691	V$ATF1_Q6	11908	Atf1
M00693	V$E12_Q6	21423	Tcfe2a
M00699	V$ICSBP_Q6	15900	Irf8
M00701	V$SMAD3_Q6	17127	Smad3
M00704	V$TEF1_Q6	21676	Tead1
M00712	V$MYOGENIN_Q6	17928	Myog
M00716	V$ZF5_01	22666	Zfp161
M00717	V$PAX8_01	18510	Pax8
M00726	V$USF2_Q6	22282	Usf2
M00727	V$SF1_Q6	26423	Nr5a1
M00729	V$CDX2_Q5	12591	Cdx2
M00731	V$OSF2_Q6	12393	Runx2
M00733	V$SMAD4_Q6	17128	Smad4
M00742	V$HFH4_01	15223	Foxj1
M00742	V$HFH4_01	15227	Foxf1a
M00744	V$POU1F1_Q6	18736	Pou1f1
M00745	V$LEF1_Q6	16842	Lef1
M00746	V$ELF1_Q6	13709	Elf1
M00747	V$IRF1_Q6	16362	Irf1
M00750	V$HMGIY_Q6	15361	Hmga1
M00750	V$HMGIY_Q6	15364	Hmga2
M00761	V$P53_DECAMER_Q2	22059	Trp53
M00761	V$P53_DECAMER_Q2	22061	Trp63
M00762	V$DR1_Q3	13865	Nr2f1
M00762	V$DR1_Q3	15378	Hnf4a
M00762	V$DR1_Q3	19013	Ppara
M00762	V$DR1_Q3	19016	Pparg
M00762	V$DR1_Q3	20181	Rxra
M00763	V$PPAR_DR1_Q2	19013	Ppara
M00763	V$PPAR_DR1_Q2	19016	Pparg
M00763	V$PPAR_DR1_Q2	20181	Rxra
M00764	V$HNF4_DR1_Q3	15378	Hnf4a
M00765	V$COUP_DR1_Q6	13865	Nr2f1
M00766	V$LXR_DR4_Q3	20181	Rxra
M00766	V$LXR_DR4_Q3	22259	Nr1h3
M00767	V$FXR_IR1_Q6	20181	Rxra
M00767	V$FXR_IR1_Q6	20186	Nr1h4
M00769	V$AML_Q6	12393	Runx2
M00769	V$AML_Q6	12394	Runx1
M00769	V$AML_Q6	12400	Cbfb
M00770	V$CEBP_Q3	12606	Cebpa
M00770	V$CEBP_Q3	12608	Cebpb
M00770	V$CEBP_Q3	12609	Cebpd
M00770	V$CEBP_Q3	12611	Cebpg
M00771	V$ETS_Q4	13709	Elf1
M00771	V$ETS_Q4	13712	Elk1
